Specialization,Talent,Row,ColStart,ColSpan,Cost,UpLink,DownLink,LeftLink,RightLink,Description Found?,Column1
Advisor,Plausible Deniability,1,1,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,Remove :bk: per rank of Plausible Deniability frrom Coercion and Deception check.
Advisor,Know Somebody,1,2,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,"Once per session, when attempting to purchase a legally available item, reduce its rarity by 1 per rank of Know Somebody."
Advisor,Grit,1,3,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,Gain +1 Strain Threshold.
Advisor,Kill With Kindness,1,4,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,Remove :bk: per rank of Kill With Kindness from all Charm and Leadership checks.
Advisor,Toughened,2,1,1,10,TRUE,TRUE,FALSE,FALSE,TRUE,Gain +2 wound threshold.
Advisor,Know Somebody,2,2,1,10,TRUE,FALSE,FALSE,FALSE,TRUE,"Once per session, when attempting to purchase a legally available item, reduce its rarity by 1 per rank of Know Somebody."
Advisor,Knowledge Is Power,2,3,1,10,TRUE,FALSE,FALSE,FALSE,TRUE,"Once per session. When making a check, count Force rating as being equal to ranks in Knowledge (Lore)."
Advisor,Nobody's Fool,2,4,1,10,TRUE,TRUE,FALSE,FALSE,TRUE,"Upgrade difficulty of incoming Charm, Coercion, and Deception checks once per rank of Nobody's Fool."
Advisor,Grit,3,1,1,15,TRUE,TRUE,FALSE,FALSE,TRUE,Gain +1 Strain Threshold.
Advisor,Smooth Talker,3,2,1,15,FALSE,TRUE,FALSE,TRUE,TRUE,"When first acquired, choose 1 skill: Charm, Coercion, Deception or Negotiation. When making checks with that skill, spend :tri: to gain additional :suc: equal to ranks in Smooth Talker."
Advisor,Smooth Talker,3,3,1,15,FALSE,TRUE,TRUE,TRUE,TRUE,"When first acquired, choose 1 skill: Charm, Coercion, Deception or Negotiation. When making checks with that skill, spend :tri: to gain additional :suc: equal to ranks in Smooth Talker."
Advisor,Plausible Deniability,3,4,1,15,TRUE,TRUE,TRUE,FALSE,TRUE,Remove :bk: per rank of Plausible Deniability frrom Coercion and Deception check.
Advisor,Nobody's Fool,4,1,1,20,TRUE,TRUE,FALSE,TRUE,TRUE,"Upgrade difficulty of incoming Charm, Coercion, and Deception checks once per rank of Nobody's Fool."
Advisor,Natural Charmer,4,2,1,20,TRUE,FALSE,TRUE,TRUE,TRUE,"Once per session, may re-roll any 1 Charm or Deception check."
Advisor,Contingency Plan,4,3,1,20,TRUE,TRUE,TRUE,TRUE,TRUE,Spend 1 Destiny Point to recover strain equal to Cunning rating.
Advisor,Sense Emotions,4,4,1,20,TRUE,TRUE,TRUE,FALSE,TRUE,"Add :bl: to all Charm, Coercion and Deception checks unless the target is immune to Force powers."
Advisor,Dedication,5,1,1,25,TRUE,FALSE,FALSE,TRUE,TRUE,Gain +1 to a single characteristic. This cannot bring a characteristic above 6.
Advisor,Steely Nerves,5,2,1,25,FALSE,FALSE,TRUE,TRUE,TRUE,Spend 1 Destiny Point to ignore effects of Critical Injuries on Willpower or Presence checks until the end of the encounter.
Advisor,Force Rating,5,3,1,25,TRUE,FALSE,TRUE,FALSE,TRUE,Gain +1 Force Rating.
