Game,Talent,Activation,Force?,Ranked?,ShortDesc,LongDesc
Edge of the Empire,A Step Ahead,Active (Incidental),0,0,"Once per session, the character may suffer 2 strain in order to count his Cunning as one higher than normal for the remainder of the encounter.",
Edge of the Empire,Acklay's Scything Strike,Passive,0,0,Brawl attacks gain Pierce rating equal to Force rating.,
Edge of the Empire,Altered Deal,Active (Action),0,0,Once per session may take the Altered Deal action and make Hard (:pu: :pu: :pu:) Coercion check to radically change a previously made deal or bargain to the character’s advantage.,
Edge of the Empire,Ambush,Active (Maneuver),0,0,"Once per round while benefiting from cover, may make the Ambush maneuver. Add damage equal to Stealth skill to one hit of next successful combat check against a target within Short range before the end of the turn.",
Edge of the Empire,Analyze Data,Active (Action),0,0,"Once per session, after capturing enemy data, may perform the Analyze Data action to make an Average (:pu: :pu:) Knowledge (Warfare) check. Once during the remainder of the session he may then add :suc: equal to ranks in Knowledge (Warfare) to one check related to that data.",
Edge of the Empire,Animal Bond (Improved),Passive,1,0,"When spending a maneuver to direct a bonded animal, the character may suffer 1 strain to add :bl: to the animal’s next check.",
Edge of the Empire,As the Force Wills It,Passive,0,0,May make an Easy (:pu:) Knowledge (Lore) check to heal strain at the end of an encounter . :tri: can be spent to heal all strain.,
Edge of the Empire,Beast Wrangler,Passive,0,1,Add :bl: per rank of Beast Wrangler to checks to tame or wrangle creatures.,
Edge of the Empire,Better Luck Next Time,Active (Action),0,0,Take a Better Luck Next Time action; make a Hard (:pu: :pu: :pu:) Cool check to force a competitor to suffer a major misfortune.,
Edge of the Empire,Biggest Fan,Active (Action),0,0,"Once per session, may take a Biggest Fan action; make a Hard (:pu: :pu: :pu:) Charm check to turn one NPC into the character’s biggest fan.",
Edge of the Empire,Bodyguard (Supreme),Passive,0,0,Body Guard maneuver may protect a number of engaged characters up to ranks in Resilience.,
Edge of the Empire,Bolstered Armor,Passive,0,1,Increase the armor value of Signature vehicle by 1 per rank of Bolstered Armor.,
Edge of the Empire,Bring It Down,Active (Incidental),0,0,"Once per attack, spend 1 Destiny Point to add damage to a single hit equal to target’s Brawn value.",
Edge of the Empire,Burly,Passive,0,1,Reduce any wielded weapon’s Cumbersome quality and Encumbrance rating by a number equal to ranks in Burly to a minimum of 1.,
Edge of the Empire,By the Book,Active (Incidental),0,1,"Once per encounter, before making a combat check, the character may suffer two strain to add :adv: to the results equal to his ranks in By the Book.",
Edge of the Empire,Call 'Em,Passive,0,0,Do not add :bk: to combat checks due to the use of the Aim maneuver.,
Edge of the Empire,Calm Commander,Passive,0,0,May use ranks in Cool to upgrade Mass Combat checks instead of ranks in Leadership.,
Edge of the Empire,Clever Commander,Passive,0,0,May use ranks in Knowledge (Warfare) to upgrade Mass Combat checks instead of ranks in Leadership.,
Edge of the Empire,Combat Programming,Active (Action),0,0,"Once per encounter make a Hard (:pu: :pu: :pu:) Computers check while repairing or working on a droid. For the remainder of the encounter, the droid gains 1 rank in two different combat skills.",
